amenity_name,lat,lng,building,address,postal
108 DEPOT ROAD ,1.28096680702384,103.810298189643,DBS NTUC DEPOT ROAD,DBS NTUC DEPOT ROAD,100108
17 PETIR ROAD ,1.37841165144214,103.76382945872,DBS NTUC HILLION MALL,DBS NTUC HILLION MALL,678278
8 SELETAR NORTH LINK ,1.41922753105954,103.89655042559,PPT LODGE 1A,PPT LODGE 1A,797455
639 PUNGGOL DRIVE ,1.39946117845803,103.916054498662,DBS PUNGGOL DRIVE,DBS PUNGGOL DRIVE,820639
625 ELIAS ROAD ,1.37860239771677,103.941978174681,ELIAS MALL,ELIAS MALL,510625
21 TAMPINES NORTH DRIVE 2,1.37210169874539,103.931999887543,GIANT,GIANT,528765
133 CANBERRA VIEW ,1.44349544527985,103.830345369213,CANBERRA PLAZA,CANBERRA PLAZA,750133
417 FERNVALE LINK ,1.39158622983505,103.879874611419,FERNVALE RIVERWALK,FERNVALE RIVERWALK,790417
85 DAWSON ROAD ,1.29531966312622,103.809758591447,SKYVILLE @ DAWSON,SKYVILLE @ DAWSON,141085
11 MANDAI ESTATE ,1.40860253518183,103.759758955688,ELDIX,ELDIX,729908
18 KIM TIAN ROAD,1.28481163867942,103.829306826998,KAI FOOK MANSION,KAI FOOK MANSION,169252
301 WOODLANDS STREET 31 ,1.4315052703273,103.773515659097,FUCHUN NEIGHBOURHOOD CENTRE,FUCHUN NEIGHBOURHOOD CENTRE,730301
5 JALAN PAPAN ,1.32207201524401,103.727545771811,DBS WESTLITE DORMITORY (JALAN PAPAN),DBS WESTLITE DORMITORY (JALAN PAPAN),619396
30 GREENWOOD AVENUE,1.33176092057825,103.806586709072,HILLCREST PARK,HILLCREST PARK,289230
166 BUKIT MERAH CENTRAL ,1.28305664324915,103.817663685706,UOB BUKIT MERAH CENTRAL,UOB BUKIT MERAH CENTRAL,150166
306 UBI AVENUE 1 ,1.32987219692115,103.901929745036,SPRING BRAINY KIDZ GROUP PTE. LTD.,SPRING BRAINY KIDZ GROUP PTE. LTD.,400306
681 PUNGGOL DRIVE ,1.40282352005409,103.91346139614,OCBC OASIS TERRACES - FAIRPRICE,OCBC OASIS TERRACES - FAIRPRICE,820681
352 CLEMENTI AVENUE 2 ,1.31427860227337,103.771350557894,CLEMENTI AVENUE 2 SHOPPING CENTRE,CLEMENTI AVENUE 2 SHOPPING CENTRE,120352
120 CANBERRA CRESCENT ,1.4456745290189,103.831508132401,DBS 120 CANBERRA CRESCENT,DBS 120 CANBERRA CRESCENT,750120
25 GHIM MOH LINK ,1.3081474688469,103.786255228477,GHIM MOH VALLEY,GHIM MOH VALLEY,270025
500 NEW PUNGGOL ROAD ,1.42088392750942,103.912199519838,THE PUNGGOL SETTLEMENT,THE PUNGGOL SETTLEMENT,828617
